ID,Episode,Title,Subject
1,S01E01,A Walk In The Woods,"Bushes, Deciduous, Grass, River, Tree, Trees"
2,S01E02,Mt. Mckinley,"Cabin, Clouds, Conifer, Mountain, Snow, Snowy_Mountain, Tree, Trees, Winter"
3,S01E03,Ebony Sunset,"Cabin, Conifer, Fence, Mountain, Mountains, Structure, Sun, Tree, Trees, Winter"
4,S01E04,Winter Mist,"Bushes, Clouds, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees"
5,S01E05,Quiet Stream,"Deciduous, River, Rocks, Tree, Trees"
6,S01E06,Winter Moon,"Cabin, Conifer, Lake, Moon, Mountain, Mountains, Night, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter"
7,S01E07,Autumn Mountains,"Deciduous, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
8,S01E08,Peaceful Valley,"Bushes, Conifer, Lake, Mountain, Mountains, Tree, Trees"
9,S01E09,Seascape,"Beach, Clouds, Fence, Ocean"
10,S01E10,Mountain Lake,"Bushes, Conifer, Deciduous, Lake, Mountain, Tree, Trees"
11,S01E11,Winter Glow,"Deciduous, Lake, Tree, Trees"
12,S01E12,Snowfall,"Cirrus, Clouds, Conifer, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
13,S01E13,Final Reflections,"Bushes, Conifer, Deciduous, Grass, Mountain, Snowy_Mountain, Tree, Trees"
14,S02E01,Meadow Lake,"Bushes, Conifer, Cumulus, Deciduous, Grass, Lake, Mountain, Snowy_Mountain, Tree, Trees"
15,S02E02,Winter Sun,"Conifer, Lake, Snow, Sun, Tree, Trees"
16,S02E03,Ebony Sea,"Clouds, Cumulus, Deciduous, Ocean, Sun, Tree, Trees, Waves"
17,S02E04,Shades Of Grey,"Bushes, Cabin, Clouds, Conifer, Cumulus, Deciduous, Lake, Mountain, Mountains, Snow, Snowy_Mountain, Structure, Tree, Trees"
18,S02E05,Autumn Splendor,"Bushes, Deciduous, Grass, Lake, Tree, Trees"
19,S02E06,Black River,"Bushes, Clouds, Cumulus, Deciduous, Grass, River, Tree, Trees"
20,S02E07,Brown Mountain,"Clouds, Conifer, Cumulus, Grass, Lake, Mountain, Mountains, Tree, Trees"
21,S02E08,Reflections,"Bushes, Cirrus, Clouds, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees"
22,S02E09,Black & White Seascape,"Cirrus, Cumulus, Deciduous, Ocean, Rocks, Sun, Tree, Trees, Waves"
23,S02E10,Lazy River,"Deciduous, Grass, River, Tree, Trees"
24,S02E11,Black Waterfall,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, River, Rocks, Tree, Trees, Waterfall"
25,S02E12,Mountain Waterfall,"Deciduous, Grass, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees, Waterfall"
26,S02E13,Final Grace,"Bushes, Clouds, Conifer, Cumulus, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
27,S03E01,Mountain Retreat,"Bushes, Cabin, Conifer, Deciduous, Lake, Mountain, Mountains, Structure, Tree, Trees"
28,S03E02,Blue Moon,"Clouds, Cumulus, Moon, Night, Ocean, Palm_Trees, Tree, Trees, Waves"
29,S03E03,Bubbling Stream,"Deciduous, Grass, River, Rocks, Tree, Trees"
30,S03E04,Winter Night,"Cabin, Conifer, Snow, Structure, Tree, Trees, Winter"
31,S03E05,Distant Hills,"Cirrus, Clouds, Conifer, Deciduous, Hills, Lake, Mountain, Mountains, Tree, Trees"
32,S03E06,Covered Bridge,"Bridge, Deciduous, Path, Structure, Tree, Trees"
33,S03E07,Quiet Inlet,"Deciduous, Lake, Mountain, Mountains, Tree, Trees"
34,S03E08,Night Light,"Cliff, Clouds, Cumulus, Lighthouse, Night, Ocean, Structure, Waves"
35,S03E09,The Old Mill,"Bushes, Cabin, Clouds, Cumulus, Deciduous, Mill, River, Structure, Tree, Trees"
36,S03E10,Campfire,"Bushes, Deciduous, Fire, Lake, Person, Tree, Trees"
37,S03E11,Rustic Barn,"Barn, Deciduous, Fence, Lake, Structure, Tree, Trees"
38,S03E12,Hidden Lake,"Bushes, Conifer, Deciduous, Lake, Mountain, Mountains, Tree, Trees"
39,S03E13,Peaceful Waters,"Clouds, Conifer, Cumulus, Deciduous, Guest, Lake, Mountain, Snowy_Mountain, Steve_Ross, Tree, Trees"
40,S04E01,Purple Splendor,"Cabin, Conifer, Lake, Snow, Structure, Tree, Trees, Winter"
41,S04E02,Tranquil Valley,"Bushes, Clouds, Cumulus, Deciduous, Grass, Lake, Mountain, Mountains, Tree, Trees"
42,S04E03,Majestic Mountains,"Bushes, Conifer, Grass, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
43,S04E04,Winter Sawscape,"Cabin, Circle_Frame, Clouds, Conifer, Cumulus, Deciduous, Framed, Guest, Lake, Snow, Structure, Tree, Trees, Winter"
44,S04E05,Evening Seascape,"Beach, Cliff, Clouds, Conifer, Cumulus, Ocean, Rocks, Tree, Trees, Waves"
45,S04E06,Warm Summer Day,"Bushes, Deciduous, Lake, Tree, Trees"
46,S04E07,Cabin In The Woods,"Cabin, Deciduous, Grass, Path, Structure, Tree, Trees"
47,S04E08,Wetlands,"Conifer, Deciduous, Grass, Lake, Tree, Trees"
48,S04E09,Cool Waters,"Bushes, Clouds, Conifer, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
49,S04E10,Quiet Woods,"Bushes, Conifer, Grass, River, Tree, Trees"
50,S04E11,Northwest Majesty,"Clouds, Conifer, Cumulus, Diane_Andre, Guest, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
